id,vehicleType,make,model,modelType,color,colorType,driveType,accessories,price,totalOwners,kilometers,seats,doors,power,batteryCapacity,batteryGuaranteeMonth,batteryGuaranteeKm,electricRange,chargingType,chargingPower,maximumChargingPower
13721584,Car,Mercedes-Benz,EQB,,Gray,Metallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Paper,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Auto hold,Keyless start,Ski hatch,Electrically operated tailgate,LED-headlights,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Plug-in charging for hybrid vehicles,Tire-pressure monitoring system,Traffic sign recognition,Smartphone integration,Blind spot sensor,Folding rear seats",59890.0,,15000.0,5.0,5.0,,66.0,,,,,,
13721625,Car,Volkswagen,ID5,,Other,Nonmetallic,Four wheel,"Alloy wheels,Airconditioning: Automatic,USB,Sun hatch: With panorama,Cruise control: Adaptive,Parking sensors,Satellite navigator,Rain Sensor,Multiactive Steering Wheel,Heated windshield,Parking Assistant,Parking camera: Simple camera",61900.0,,26000.0,5.0,,220.0,0.0,,,,,,
13721665,Car,Tesla,Model Y,,White,Metallic,Four wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Sunroof,Isofix-ready,Keyless start,Electrically operated tailgate,LED-headlights,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats,Battery preheating",51990.0,,28000.0,5.0,5.0,258.0,79.0,,,,CCS,250.0,
13721833,Car,Mercedes-Benz,EQS,,White,Not available,Rear wheel,"Tow bar,Leather upholstery,Cruise control: Traditional,Electric mirrors,Multiactive Steering Wheel,Sunroof,Air suspension,Smartphone integration",81790.0,,67000.0,5.0,4.0,215.0,90.56,,,626.0,CCS,170.0,
13722368,Car,Peugeot,e-2008,,Orange,Metallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Traction control,Cruise control: Traditional,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Driving assistant,Auto hold,Keyless start,Ski hatch,LED-headlights,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Folding rear seats",26700.0,1.0,18870.0,5.0,4.0,136.0,50.0,96.0,160000.0,320.0,"Type 2,CCS,Schuko",100.0,100.0
13722447,Car,Toyota,bZ4X,,Other,Metallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Airconditioning: Automatic,Leather upholstery,Airbag,Immobilizer,Cruise control: Traditional,Electric seats: Without memory,Parking sensors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Hands-free kit,Isofix-ready,Auto hold,Keyless start,Heated windshield,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Smartphone integration,Emergency brake assist,Folding rear seats",52900.0,,6100.0,5.0,4.0,160.0,0.0,,,,,,
13722452,Car,Peugeot,e-208,,Yellow,Metallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Paper,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Traditional,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Auto hold,Keyless start,LED-headlights,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Folding rear seats",32890.0,,9000.0,5.0,4.0,,50.0,,,340.0,CCS,100.0,
13722533,Car,Nissan,Ariya,,Other,Nonmetallic,Front wheel,"Airconditioning: Automatic,Airbag,USB,Bluetooth,Sun hatch: With panorama,Cruise control: Traditional,Electric seats: Without memory,Seat heaters,Parking sensors,Fog lights,Heated windshield,LED-headlights,Lane departure warning system",62900.0,,5000.0,5.0,,178.0,0.0,,,,,,
13723047,Car,Hyundai,Ioniq 5,,Other,Not available,Rear wheel,"Power windows,Airconditioning: Automatic,Airbag,Cruise control: Traditional,Rain Sensor,Isofix-ready,Parking camera: Simple camera",45900.0,,6000.0,5.0,5.0,160.0,0.0,,,,,,
13723123,Car,Opel,Zafira-e,,Other,Not available,Front wheel,"Power windows,Airconditioning: Automatic,Airbag,Cruise control: Traditional,On board computer,Seat heaters,Driving assistant,Fog lights,Hands-free kit,Tire-pressure monitoring system",58900.0,,,,4.0,,0.0,,,,,,
13724174,Car,Skoda,Enyaq,,White,Nonmetallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Sun hatch: With panorama,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Sunroof,Isofix-ready,Auto hold,Keyless start,Electrically operated tailgate,LED-headlights,Sport seats,Parking Assistant,Parking camera: Simple camera,Tire-pressure monitoring system,Traffic sign recognition,Heated steering wheel,Battery preheating",59900.0,,1000.0,5.0,5.0,,82.0,,,496.0,CCS,135.0,135.0
13724385,Car,Opel,Corsa-e,,Orange,Not available,Front wheel,"Power windows,Two sets of tyres,Airconditioning: Automatic,Service manual: Paper,Cruise control: Traditional,Parking sensors,Electric mirrors,Hands-free kit,LED-headlights,Folding rear seats",27880.0,,13500.0,5.0,5.0,5.0,0.0,,,,,,
13724441,Car,Kia,EV6,,White,Not available,Rear wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Paper,Radio,USB,Bluetooth,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Rain Sensor,Multiactive Steering Wheel,Isofix-ready,Keyless start,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Tire-pressure monitoring system,Lane departure warning system,Smartphone integration,Collision avoidance system,Blind spot sensor,Heated steering wheel",42800.0,,17000.0,5.0,4.0,125.0,58.0,,,394.0,,,
13725419,Car,Skoda,Enyaq,,Gray,Metallic,Rear wheel,"Central locking: Keyless,Two sets of tyres,Airconditioning: Automatic,Cruise control: Adaptive,Electric mirrors,Satellite navigator,Keyless start,Ski hatch,LED-headlights,Parking camera: Simple camera,Emergency brake assist",47360.0,,22000.0,5.0,5.0,150.0,0.0,,,,,,
13725431,Car,Toyota,bZ4X,,White,Not available,Four wheel,"Power windows,Cruise control: Adaptive,Parking sensors,Hands-free kit,Isofix-ready,Keyless start,Heated windshield,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Smartphone integration",49890.0,,6763.0,5.0,4.0,160.0,0.0,,,,,,
13726334,Car,Nissan,Leaf,40 kWh N-Connecta LED,Blue,Metallic,Front wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Motor heater,ABS brakes,Airbag,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Multiactive Steering Wheel,Audio input,Isofix-ready,Curve lights,Auto hold,Keyless start,LED-headlights,Parking camera: 360-degree camera,Start-stop system,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats,Battery preheating",23500.0,,36700.0,5.0,5.0,110.0,0.0,,,,,,
13726788,Car,Opel,Corsa-e,,Other,Not available,Front wheel,"Power windows,Two sets of tyres,Airbag,Cruise control: Traditional,Seat heaters,Hands-free kit,Isofix-ready,Auto hold,LED-headlights,Sport seats,Tire-pressure monitoring system,Lane departure warning system,Emergency brake assist,Folding rear seats",31900.0,,3000.0,,5.0,,0.0,,,,,,
13727690,Car,Skoda,Enyaq,,White,Metallic,Four wheel,"Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Service manual: Electronic,Radio,Bluetooth,Cruise control: Adaptive,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Keyless start,Electrically operated tailgate,Parking Assistant,Parking camera: Simple camera,Plug-in charging for hybrid vehicles,Lane departure warning system,Blind spot sensor,Heated steering wheel,Folding rear seats",52700.0,,25000.0,5.0,5.0,,0.0,,,,Type 2,,
13729295,Car,Mercedes-Benz,EQB,,White,Not available,Four wheel,"Airconditioning: Automatic,Cruise control: Adaptive,Seat heaters,Multiactive Steering Wheel,Sunroof,Electrically operated tailgate,Parking Assistant,Parking camera: Simple camera,Tire-pressure monitoring system",56700.0,,7000.0,7.0,5.0,168.0,66.0,,,,,,
13729705,Car,Volkswagen,ID5,,White,Nonmetallic,Rear wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Sun hatch: With panorama,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Sunroof,Isofix-ready,Keyless start,Heated windshield,LED-headlights,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Start-stop system,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Head-Up display,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats",49980.0,,23000.0,5.0,5.0,150.0,82.0,,160000.0,527.0,CCS,135.0,135.0
13730023,Car,Audi,Q4 e-tron,,Other,Nonmetallic,Rear wheel,"Power steering,Central locking: Remote control,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airconditioning: Manual,ABS brakes,Airbag,Radio,USB,Bluetooth,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Isofix-ready,Auto hold,Keyless start,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Folding rear seats",43400.0,,20000.0,5.0,,125.0,0.0,,,,,,
13730614,Car,Hyundai,Ioniq 5,,Gray,Not available,Rear wheel,"Power windows,Two sets of tyres,Airconditioning: Automatic,Cruise control: Traditional,Seat heaters,Driving assistant,Rain Sensor,Isofix-ready,Parking camera: Simple camera,Tire-pressure monitoring system,Folding rear seats",46990.0,,25000.0,5.0,5.0,160.0,73.0,,,480.0,,,
13732168,Car,BMW,iX,xDrive50 Fully Charged,Gray,Metallic,Four wheel,"Power steering,Central locking: Keyless,Power windows,Tow bar,Alloy wheels,Airconditioning: Automatic,ABS brakes,Airbag,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Sport base,Sunroof,Isofix-ready,Curve lights,Auto hold,Keyless start,Ski hatch,Electrically operated tailgate,Cargo safety net,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Head-Up display,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats",106250.0,,29800.0,5.0,5.0,524.0,0.0,,,,,,
13733812,Car,Mercedes-Benz,EQE,,Black,Metallic,Rear wheel,"Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Multiactive Steering Wheel,Parking Assistant,Air suspension,Smartphone integration",66500.0,,72000.0,5.0,4.0,4.0,0.0,,,,,,
13734617,Car,Skoda,Enyaq,,Blue,Not available,Rear wheel,"Two sets of tyres,Cruise control: Adaptive,Isofix-ready,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Lane departure warning system",49800.0,,20000.0,5.0,5.0,150.0,82.0,,,530.0,CCS,135.0,
13735173,Car,Peugeot,e-208,,White,Not available,Front wheel,"Central locking: Remote control,Power windows,Airconditioning: Automatic,Cruise control: Traditional,Parking sensors,Driving assistant,Folding rear seats",27750.0,,30.0,5.0,5.0,,0.0,,,,,,
13735176,Car,Peugeot,e-2008,,Gray,Not available,Front wheel,"Power windows,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Cruise control: Adaptive,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Parking camera: Simple camera",36890.0,,7000.0,5.0,4.0,4.0,50.0,,,336.0,,,
13735474,Car,Tesla,Model 3,,White,Metallic,Rear wheel,"Power steering,Central locking: Keyless,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,Electric seats: Without memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Sunroof,Isofix-ready,Keyless start,Heated windshield,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Plug-in charging for hybrid vehicles,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Heated steering wheel,Folding rear seats,Battery preheating",38590.0,1.0,31000.0,5.0,4.0,,60.0,,,,,,
13737050,Car,Mercedes-Benz,EQA,,Beige,Nonmetallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Traction control,Cruise control: Traditional,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Isofix-ready,Auto hold,Keyless start,Electrically operated tailgate,LED-headlights,Parking Assistant,Parking camera: Simple camera,Lane departure warning system,Smartphone integration,Adaptive headlights,Collision avoidance system,Blind spot sensor,Folding rear seats,Battery preheating",48500.0,,9000.0,5.0,5.0,,66.0,,160000.0,492.0,Schuko,100.0,100.0
13738390,Car,Volkswagen,ID5,,Red,Nonmetallic,Rear wheel,"Alloy wheels,Airconditioning: Automatic,USB,Cruise control: Adaptive,Parking sensors,Satellite navigator,Rain Sensor,Multiactive Steering Wheel,Heated windshield,LED-headlights,Parking Assistant,Parking camera: Simple camera",46900.0,,42000.0,5.0,,150.0,0.0,,,,,,
13738543,Car,Ford,Mustang Mach-E,,Other,Metallic,Four wheel,"Central locking: Keyless,Airconditioning: Automatic,Leather upholstery,Airbag,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Isofix-ready,Keyless start,Heated windshield,LED-headlights,Parking camera: Simple camera,Tire-pressure monitoring system,Lane departure warning system,Emergency brake assist",68890.0,,7000.0,,5.0,,0.0,,,,,,
13739021,Car,BMW,i4 M50,,Other,Metallic,Four wheel,Tow bar,69900.0,,14800.0,,4.0,400.0,0.0,,,,,,
13739211,Car,Mercedes-Benz,EQS,,Black,Nonmetallic,Rear wheel,"Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Sun hatch: With panorama,Cruise control: Traditional,Electric seats: With memory,Parking sensors,Satellite navigator,Multiactive Steering Wheel,Air suspension,Smartphone integration",99800.0,,9000.0,5.0,5.0,,108.0,,250000.0,755.0,CCS,200.0,200.0
13739274,Car,Skoda,Enyaq,,Black,Nonmetallic,Four wheel,"Tow bar,Two sets of tyres,Cruise control: Adaptive,Electric seats: With memory,Electrically operated tailgate",54900.0,,32000.0,5.0,5.0,,82.0,,160000.0,499.0,CCS,135.0,135.0
13740270,Car,Mercedes-Benz,EQE,,Black,Not available,Rear wheel,"Two sets of tyres,Leather upholstery,Airbag,Sun hatch: With panorama,Electric mirrors,Multiactive Steering Wheel,Sunroof,Parking camera: Simple camera,Tire-pressure monitoring system,Smartphone integration",68490.0,,66000.0,5.0,4.0,215.0,0.0,,,,,,
13740891,Car,Lexus,UX,,White,Nonmetallic,Front wheel,"Central locking: Remote control,Alloy wheels,Two sets of tyres,Airconditioning: Manual,Leather upholstery,Radio,Bluetooth,Cruise control: Adaptive,Parking sensors,Rain Sensor,Keyless start,Parking camera: Simple camera",43900.0,,5000.0,5.0,4.0,150.0,54.0,,,309.0,CHAdeMO,50.0,50.0
13741618,Car,BMW,i4,,Black,Metallic,Rear wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,ABS brakes,Airbag,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Adaptive,On board computer,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Hands-free kit,Isofix-ready,Keyless start,Ski hatch,Electrically operated tailgate,LED-headlights,Sport seats,Parking Assistant,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Head-Up display,Smartphone integration,Adaptive headlights,Collision avoidance system,Blind spot sensor",74450.0,,6000.0,5.0,4.0,250.0,84.0,,,,,,
13741635,Car,Ford,Mustang Mach-E,,Black,Nonmetallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,MP3,Bluetooth,Alarm system,Traction control,Cruise control: Adaptive,Electric seats: Without memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Keyless start,Heated windshield,Ski hatch,LED-headlights,Parking Assistant,Parking camera: Simple camera,Plug-in charging for hybrid vehicles,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats,Battery preheating",58790.0,,23000.0,5.0,4.0,,98.0,,160000.0,540.0,CCS,150.0,150.0
13741644,Car,Mercedes-Benz,EQB,,Blue,Nonmetallic,Four wheel,"Central locking: Remote control,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Bluetooth,Cruise control: Traditional,Fuel / battery powered heater,On board computer,Seat heaters,Driving assistant,Multiactive Steering Wheel,Isofix-ready,Electrically operated tailgate,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Smartphone integration",56800.0,,12000.0,5.0,5.0,215.0,66.5,,,419.0,"CCS,Schuko",100.0,100.0
13741659,Car,Polestar,2,,Other,Nonmetallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Alarm system,Sun hatch: With panorama,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Sunroof,Isofix-ready,Curve lights,Auto hold,Keyless start,Ski hatch,Electrically operated tailgate,Cargo safety net,LED-headlights,Sport seats,Parking Assistant,Parking camera: Simple camera,Tire-pressure monitoring system,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats",56700.0,,13000.0,5.0,4.0,350.0,78.0,,160000.0,482.0,CCS,155.0,155.0
13742019,Car,Kia,EV6,,Red,Not available,Four wheel,"Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Satellite navigator,Driving assistant,Rain Sensor,Hands-free kit,Isofix-ready,Auto hold,Keyless start,LED-headlights,Parking camera: Simple camera,Traffic sign recognition,Lane departure warning system,Emergency brake assist",52800.0,,32000.0,5.0,5.0,5.0,0.0,,,,,,
13743832,Car,Mercedes-Benz,EQE,,White,Not available,Rear wheel,"Central locking: Keyless,Power windows,Tow bar,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,Airbag,Service manual: Paper,Traction control,On board computer,Seat heaters,Electric mirrors,Satellite navigator,Driving assistant,Multiactive Steering Wheel,Sport seats,Traffic sign recognition",74800.0,,6000.0,5.0,4.0,180.0,0.0,,,,,,
13743929,Car,Hyundai,Kona,,Blue,Not available,Front wheel,"Central locking: Remote control,Power windows,Airconditioning: Automatic,Leather upholstery,ABS brakes,Traction control,Cruise control: Adaptive,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Multiactive Steering Wheel,Hands-free kit,Isofix-ready,LED-headlights,Parking camera: Simple camera,Lane departure warning system",25330.0,,12900.0,5.0,5.0,100.0,42.0,,,305.0,CCS,50.0,
13744804,Car,Kia,EV6,,Red,Metallic,Rear wheel,"Power steering,Central locking: Remote control,Tow bar,Alloy wheels,Service manual: Electronic,Bluetooth,Sun hatch: With panorama,Traction control,Cruise control: Adaptive,Fuel / battery powered heater,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Satellite navigator,Driving assistant,Multiactive Steering Wheel,Keyless start,Electrically operated tailgate,Parking camera: 360-degree camera,Lane departure warning system,Head-Up display,Smartphone integration,Adaptive headlights,Heated steering wheel,Battery preheating",50590.0,,26300.0,5.0,5.0,168.0,77.0,,,510.0,,200.0,
13745043,Car,Hyundai,Ioniq 5,,Blue,Not available,Rear wheel,"Central locking: Keyless,Two sets of tyres,Service manual: Paper,Cruise control: Adaptive,Parking sensors,Satellite navigator,Hands-free kit,Keyless start,LED-headlights,Parking camera: Simple camera,Lane departure warning system",47800.0,,26176.0,5.0,5.0,160.0,0.0,,,,,,
