,id,vehicleType,make,model,modelType,color,colorType,driveType,accessories,price,totalOwners,kilometers,seats,doors,power,batteryCapacity,batteryGuaranteeMonth,batteryGuaranteeKm,electricRange,chargingType,chargingPower,maximumChargingPower
12,13721665,Car,Tesla,Model Y,,White,Metallic,Four wheel,"Power steering,Central locking: Keyless,Power windows,Alloy wheels,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Immobilizer,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Sunroof,Isofix-ready,Keyless start,Electrically operated tailgate,LED-headlights,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Emergency brake assist,Collision avoidance system,Blind spot sensor,Heated steering wheel,Folding rear seats,Battery preheating",51990.0,,28000.0,5.0,5.0,258.0,79.0,,,,CCS,250.0,
13,13721833,Car,Mercedes-Benz,EQS,,White,Not available,Rear wheel,"Tow bar,Leather upholstery,Cruise control: Traditional,Electric mirrors,Multiactive Steering Wheel,Sunroof,Air suspension,Smartphone integration",81790.0,,67000.0,5.0,4.0,215.0,90.56,,,626.0,CCS,170.0,
14,13722368,Car,Peugeot,e-2008,,Orange,Metallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Traction control,Cruise control: Traditional,Fuel / battery powered heater,On board computer,Seat heaters,Parking sensors,Electric mirrors,Driving assistant,Auto hold,Keyless start,Ski hatch,LED-headlights,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Folding rear seats",26700.0,1.0,18870.0,5.0,4.0,136.0,50.0,96.0,160000.0,320.0,"Type 2,CCS,Schuko",100.0,100.0
15,13722447,Car,Toyota,bZ4X,,Other,Metallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Airconditioning: Automatic,Leather upholstery,Airbag,Immobilizer,Cruise control: Traditional,Electric seats: Without memory,Parking sensors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Hands-free kit,Isofix-ready,Auto hold,Keyless start,Heated windshield,LED-headlights,Parking camera: Simple camera,Lane departure warning system,Smartphone integration,Emergency brake assist,Folding rear seats",52900.0,,6100.0,5.0,4.0,160.0,0.0,,,,,,
16,13722452,Car,Peugeot,e-208,,Yellow,Metallic,Front wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Two sets of tyres,Airconditioning: Automatic,Leather upholstery,ABS brakes,Airbag,Service manual: Paper,Radio,USB,Bluetooth,Immobilizer,Alarm system,Traction control,Cruise control: Traditional,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Fog lights,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Isofix-ready,Auto hold,Keyless start,LED-headlights,Parking camera: 360-degree camera,Tire-pressure monitoring system,Traffic sign recognition,Lane departure warning system,Smartphone integration,Adaptive headlights,Emergency brake assist,Collision avoidance system,Blind spot sensor,Folding rear seats",32890.0,,9000.0,5.0,4.0,,50.0,,,340.0,CCS,100.0,
17,13722533,Car,Nissan,Ariya,,Other,Nonmetallic,Front wheel,"Airconditioning: Automatic,Airbag,USB,Bluetooth,Sun hatch: With panorama,Cruise control: Traditional,Electric seats: Without memory,Seat heaters,Parking sensors,Fog lights,Heated windshield,LED-headlights,Lane departure warning system",62900.0,,5000.0,5.0,,178.0,0.0,,,,,,
18,13723047,Car,Hyundai,Ioniq 5,,Other,Not available,Rear wheel,"Power windows,Airconditioning: Automatic,Airbag,Cruise control: Traditional,Rain Sensor,Isofix-ready,Parking camera: Simple camera",45900.0,,6000.0,5.0,5.0,160.0,0.0,,,,,,
19,13723123,Car,Opel,Zafira-e,,Other,Not available,Front wheel,"Power windows,Airconditioning: Automatic,Airbag,Cruise control: Traditional,On board computer,Seat heaters,Driving assistant,Fog lights,Hands-free kit,Tire-pressure monitoring system",58900.0,,,,4.0,,0.0,,,,,,
20,13724174,Car,Skoda,Enyaq,,White,Nonmetallic,Four wheel,"Power steering,Central locking: Remote control,Power windows,Alloy wheels,Airconditioning: Automatic,ABS brakes,Airbag,Service manual: Electronic,Radio,USB,Bluetooth,Sun hatch: With panorama,Traction control,Cruise control: Adaptive,Electric seats: With memory,On board computer,Seat heaters,Parking sensors,Electric mirrors,Satellite navigator,Driving assistant,Rain Sensor,Multiactive Steering Wheel,Audio input,Hands-free kit,Sunroof,Isofix-ready,Auto hold,Keyless start,Electrically operated tailgate,LED-headlights,Sport seats,Parking Assistant,Parking camera: Simple camera,Tire-pressure monitoring system,Traffic sign recognition,Heated steering wheel,Battery preheating",59900.0,,1000.0,5.0,5.0,,82.0,,,496.0,CCS,135.0,135.0
21,13724385,Car,Opel,Corsa-e,,Orange,Not available,Front wheel,"Power windows,Two sets of tyres,Airconditioning: Automatic,Service manual: Paper,Cruise control: Traditional,Parking sensors,Electric mirrors,Hands-free kit,LED-headlights,Folding rear seats",27880.0,,13500.0,5.0,5.0,5.0,0.0,,,,,,
